iter	Passed	Remaining
867	22683	3449
868	22708	3423
869	22730	3396
870	22759	3370
871	22782	3344
872	22809	3318
873	22840	3292
874	22868	3266
875	22896	3241
876	22925	3215
877	22951	3189
878	22973	3162
879	23000	3136
880	23027	3110
881	23054	3084
882	23082	3058
883	23110	3032
884	23135	3006
885	23161	2980
886	23187	2953
887	23214	2927
888	23240	2901
889	23265	2875
890	23292	2849
891	23310	2822
892	23334	2795
893	23364	2770
894	23386	2743
895	23412	2717
896	23440	2691
897	23460	2664
898	23492	2639
899	23520	2613
900	23548	2587
901	23572	2561
902	23601	2535
903	23628	2509
904	23655	2483
905	23683	2457
906	23712	2431
907	23739	2405
908	23760	2378
909	23785	2352
910	23814	2326
911	23836	2299
912	23864	2274
913	23882	2247
914	23908	2220
915	23936	2195
916	23959	2168
917	23989	2142
918	24017	2116
919	24040	2090
920	24065	2064
921	24092	2038
922	24110	2011
923	24137	1985
924	24152	1958
925	24178	1932
926	24202	1905
927	24232	1880
928	24260	1854
929	24286	1827
930	24313	1801
931	24340	1775
932	24366	1749
933	24392	1723
934	24408	1696
935	24436	1670
936	24462	1644
937	24488	1618
938	24507	1592
939	24531	1565
940	24560	1539
941	24589	1514
942	24605	1487
943	24630	1461
944	24656	1435
945	24684	1409
946	24709	1382
947	24737	1356
948	24765	1330
949	24790	1304
950	24817	1278
951	24845	1252
952	24871	1226
953	24897	1200
954	24923	1174
955	24945	1148
956	24974	1122
957	25003	1096
958	25030	1070
959	25056	1044
960	25082	1017
961	25109	991
962	25137	965
963	25166	939
964	25195	913
965	25214	887
966	25242	861
967	25271	835
968	25295	809
969	25323	783
970	25350	757
971	25373	730
972	25401	704
973	25426	678
974	25453	652
975	25483	626
976	25502	600
977	25529	574
978	25553	548
979	25581	522
980	25596	495
981	25614	469
982	25630	443
983	25647	417
984	25662	390
985	25690	364
986	25711	338
987	25738	312
988	25763	286
989	25790	260
990	25806	234
991	25822	208
992	25848	182
993	25872	156
994	25887	130
995	25904	104
996	25933	78
997	25958	52
998	25986	26
999	26015	0
